concept_name,section_uid,depth,loinc_code,code_display_name,raw_title,normalized_title,canonical_section_name,nearest_canonical_section_name,heading_path,direct_char_count,child_count
atorvastatin,20663b8d-c146-4786-af81-70242736d7ac,0,51945-4,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,PACKAGE LABEL-PRINCIPAL DISPLAY PANEL - 20 mg (90 Tablets Bottle),PACKAGE LABEL-PRINCIPAL DISPLAY PANEL - 20 MG (90 TABLETS BOTTLE),principal_display_panel,principal_display_panel,PACKAGE LABEL-PRINCIPAL DISPLAY PANEL - 20 mg (90 Tablets Bottle),86,0
atorvastatin,c76aa88f-0221-47e4-a04d-b7d2f4a5cda1,0,51945-4,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,PACKAGE LABEL-PRINCIPAL DISPLAY PANEL - 40 mg (90 Tablets Bottle),PACKAGE LABEL-PRINCIPAL DISPLAY PANEL - 40 MG (90 TABLETS BOTTLE),principal_display_panel,principal_display_panel,PACKAGE LABEL-PRINCIPAL DISPLAY PANEL - 40 mg (90 Tablets Bottle),86,0
atorvastatin,f53fe6c9-f2ce-4ca9-bb99-a8875cfdcd24,0,51945-4,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,PACKAGE LABEL-PRINCIPAL DISPLAY PANEL - 80 mg (90 Tablets Bottle),PACKAGE LABEL-PRINCIPAL DISPLAY PANEL - 80 MG (90 TABLETS BOTTLE),principal_display_panel,principal_display_panel,PACKAGE LABEL-PRINCIPAL DISPLAY PANEL - 80 mg (90 Tablets Bottle),86,0
amoxicillin,f71ad584-b032-4e27-af39-28503485b876,0,48780-1,SPL listing data elements section,,<NO_TITLE>,spl_product_data_elements,spl_product_data_elements,SPL listing data elements section,0,0
amoxicillin,8735248b-b819-402f-a977-b55fd4871385,0,34093-5,REFERENCES SECTION,15 REFERENCES,REFERENCES,references,references,15 REFERENCES,180,0
amoxicillin,c1d51be0-c5aa-4d60-8d17-38f43ad2f7fa,0,51945-4,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,,<NO_TITLE>,principal_display_panel,principal_display_panel,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,100,0
sertraline,4ef10f6d-35a6-5ea1-e063-6294a90a0408,0,48780-1,SPL product data elements section,,<NO_TITLE>,spl_product_data_elements,spl_product_data_elements,SPL product data elements section,0,0
sertraline,4ec85918-331b-0771-e063-6294a90a8d32,0,51945-4,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL- 25 mg 30's Container Label,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL- 25 MG 30'S CONTAINER LABEL,principal_display_panel,principal_display_panel,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL- 25 mg 30's Container Label,161,0
sertraline,4ec85e13-c2ed-86e1-e063-6394a90a7320,0,51945-4,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL- 50 mg 30's Container Label,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL- 50 MG 30'S CONTAINER LABEL,principal_display_panel,principal_display_panel,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL- 50 mg 30's Container Label,161,0
sertraline,4ec85fa1-3f2a-7689-e063-6394a90a41b4,0,51945-4,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL- 100 mg 30's Container Label,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL- 100 MG 30'S CONTAINER LABEL,principal_display_panel,principal_display_panel,PACKAGE LABEL.PRINCIPAL DISPLAY PANEL- 100 mg 30's Container Label,162,0
