normalized_title,count,loinc_codes,depths,example_concepts
RECOMMENDED DOSAGE FOR BRONCHOSPASM (ACUTE EPISODES OR SYMPTOMS ASSOCIATED WITH BRONCHOSPASM),1,42229-5,1,albuterol
RECOMMENDED DOSAGE FOR PREVENTION OF EXERCISE-INDUCED BRONCHOSPASM,1,42229-5,1,albuterol
ADMINISTRATION INFORMATION,1,42229-5,1,albuterol
PARADOXICAL BRONCHOSPASM,1,42229-5,1,albuterol
DETERIORATION OF ASTHMA,1,42229-5,1,albuterol
USE OF ANTI-INFLAMMATORY AGENTS,1,42229-5,1,albuterol
CARDIOVASCULAR EFFECTS,1,42229-5,1,albuterol
DO NOT EXCEED RECOMMENDED DOSE,1,42229-5,1,albuterol
"HYPERSENSITIVITY REACTIONS, INCLUDING ANAPHYLAXIS",1,42229-5,1,albuterol
COEXISTING CONDITIONS,1,42229-5,1,albuterol
HYPOKALEMIA,1,42229-5,1,albuterol
BETA-ADRENERGIC RECEPTOR BLOCKING AGENTS,1,42229-5,1,albuterol
NON–POTASSIUM-SPARING DIURETICS,1,42229-5,1,albuterol
DIGOXIN,1,42229-5,1,albuterol
MONOAMINE OXIDASE INHIBITORS AND TRICYCLIC ANTIDEPRESSANTS,1,42229-5,1,albuterol
ANIMAL TOXICOLOGY AND/OR PHARMACOLOGY,1,42229-5,1,albuterol
BRONCHOSPASM ASSOCIATED WITH ASTHMA,1,42229-5,1,albuterol
TREATMENT OF ACTIVE DUODENAL ULCER,1,42229-5,1,omeprazole
HELICOBACTER PYLORI ERADICATION TO REDUCE THE RISK OF DUODENAL ULCER RECURRENCE,1,42229-5,1,omeprazole
TREATMENT OF ACTIVE BENIGN GASTRIC ULCER,1,42229-5,1,omeprazole
TREATMENT OF SYMPTOMATIC GASTROESOPHAGEAL REFLUX DISEASE (GERD),1,42229-5,1,omeprazole
TREATMENT OF EROSIVE ESOPHAGITIS (EE) DUE TO ACID-MEDIATED GERD,1,42229-5,1,omeprazole
RECOMMENDED ADULT DOSAGE REGIMEN BY INDICATION,1,42229-5,1,omeprazole
RECOMMENDED PEDIATRIC DOSAGE REGIMEN BY INDICATION,1,42229-5,1,omeprazole
ADMINISTRATION INSTRUCTIONS,1,42229-5,1,omeprazole
PRESENCE OF GASTRIC MALIGNANCY,1,42229-5,1,omeprazole
ACUTE TUBULOINTERSTITIAL NEPHRITIS,1,42229-5,1,omeprazole
CLOSTRIDIUM DIFFICILE- ASSOCIATED DIARRHEA,1,42229-5,1,omeprazole
BONE FRACTURE,1,42229-5,1,omeprazole
CUTANEOUS AND SYSTEMIC LUPUS ERYTHEMATOSUS,1,42229-5,1,omeprazole
INTERACTION WITH CLOPIDOGREL,1,42229-5,1,omeprazole
CYANOCOBALAMIN (VITAMIN B-12) DEFICIENCY,1,42229-5,1,omeprazole
HYPOMAGNESEMIA AND MINERAL METABOLISM,1,42229-5,1,omeprazole
INTERACTION WITH ST.JOHN’S WORT OR RIFAMPIN,1,42229-5,1,omeprazole
INTERACTIONS WITH DIAGNOSTIC INVESTIGATIONS FOR NEUROENDOCRINE TUMORS,1,42229-5,1,omeprazole
INTERACTION WITH METHOTREXATE,1,42229-5,1,omeprazole
FUNDIC GLAND POLYPS,1,42229-5,1,omeprazole
CLINICAL TRIALS EXPERIENCE WITH OMEPRAZOLE,1,42229-5,1,omeprazole
CLINICAL TRIALS EXPERIENCE WITH OMEPRAZOLE IN COMBINATION THERAPY FOR H. PYLORI ERADICATION,1,42229-5,1,omeprazole
ASIAN POPULATION,1,42229-5,1,omeprazole
PHARMACOGENOMICS,1,42229-5,1,omeprazole
ACTIVE DUODENAL ULCER,1,42229-5,1,omeprazole
H.PYLORI ERADICATION IN PATIENTS WITH DUODENAL ULCER DISEASE,1,42229-5,1,omeprazole
ACTIVE BENIGN GASTRIC ULCER,1,42229-5,1,omeprazole
SYMPTOMATIC GERD,1,42229-5,1,omeprazole
EE DUE TO ACID-MEDIATED GERD,1,42229-5,1,omeprazole
"PEDIATRIC STUDIES FOR THE TREATMENT OF SYMPTOMATIC GERD, TREATMENT OF EE DUE TO ACID-MEDIATED GERD, AND MAINTENANCE OF HEALING OF EE DUE TO ACID-MEDIATED GERD",1,42229-5,1,omeprazole
REDUCTION OF RISK OF STROKE AND SYSTEMIC EMBOLISM IN NONVALVULAR ATRIAL FIBRILLATION,1,42229-5,1,apixaban
PROPHYLAXIS OF DEEP VEIN THROMBOSIS FOLLOWING HIP OR KNEE REPLACEMENT SURGERY,1,42229-5,1,apixaban
TREATMENT OF DEEP VEIN THROMBOSIS,1,42229-5,1,apixaban
TREATMENT OF PULMONARY EMBOLISM,1,42229-5,1,apixaban
